year,ft_nchar_sum
2007-01-01,27945772
2013-01-01,42235593
1988-01-01,20177108
1951-01-01,17029141
2003-01-01,30534615
1960-01-01,29180433
2008-01-01,32043955
1981-01-01,19794174
1967-01-01,12242582
2015-01-01,43744616
2014-01-01,42974074
1950-01-01,21018393
1999-01-01,30052045
2004-01-01,30325200
1997-01-01,26149113
1978-01-01,13577630
1963-01-01,15741582
2006-01-01,31643367
1995-01-01,25876342
1984-01-01,21693571
1986-01-01,20770548
1991-01-01,19049634
1968-01-01,12119222
1989-01-01,19363919
2000-01-01,23834049
1974-01-01,12581535
1996-01-01,25165663
1993-01-01,19662566
1966-01-01,14665009
2019-01-01,38118285
2012-01-01,42755514
1987-01-01,20575685
1959-01-01,28032938
1983-01-01,19090383
2002-01-01,23863677
1953-01-01,17103401
1990-01-01,19254792
2016-01-01,43878547
1973-01-01,12387662
1957-01-01,25775932
2017-01-01,41666760
1972-01-01,12163977
1956-01-01,20776974
1985-01-01,20143859
1980-01-01,18352096
1949-01-01,16229383
2001-01-01,24577176
1958-01-01,25983441
2018-01-01,42539540
,1596573
1982-01-01,18683376
1992-01-01,19482348
1977-01-01,12194412
1998-01-01,26638616
2020-01-01,37887431
2011-01-01,44003374
1952-01-01,16697183
1954-01-01,16489421
1970-01-01,11918331
1964-01-01,17670895
1965-01-01,16899185
1994-01-01,21125561
2005-01-01,29630373
1976-01-01,12501297
1979-01-01,15561295
1948-01-01,6567837
1975-01-01,12296710
1961-01-01,21293166
1955-01-01,17288957
2021-01-01,40749922
2010-01-01,29812253
1947-01-01,7622335
1962-01-01,15135519
1969-01-01,12113461
1971-01-01,12140700
2009-01-01,24285940
1946-01-01,3832214
2022-01-01,1490736
