year,n_headline
2013-01-01,2914
1951-01-01,3947
2003-01-01,3442
1960-01-01,2913
1988-01-01,4141
1991-01-01,5208
2014-01-01,2635
1986-01-01,4510
2002-01-01,3484
1990-01-01,4658
2006-01-01,3556
2015-01-01,2610
1957-01-01,3474
2012-01-01,2718
1987-01-01,4022
1980-01-01,3588
1950-01-01,4087
2001-01-01,3378
2019-01-01,2228
1985-01-01,4116
1997-01-01,3499
1989-01-01,4152
1993-01-01,4872
1998-01-01,3756
1992-01-01,5700
1977-01-01,1633
1968-01-01,1264
2020-01-01,2255
1954-01-01,4461
2007-01-01,3236
1996-01-01,3889
1965-01-01,2743
1994-01-01,3884
1948-01-01,3407
1999-01-01,4563
1981-01-01,3942
1979-01-01,2408
1975-01-01,1738
1972-01-01,1998
1983-01-01,3918
1955-01-01,4737
1976-01-01,1415
1973-01-01,1926
1974-01-01,1813
2004-01-01,3690
1958-01-01,2982
1995-01-01,4027
2016-01-01,2480
1964-01-01,3131
2017-01-01,2460
2010-01-01,1945
1947-01-01,4225
1967-01-01,1319
1978-01-01,1858
1970-01-01,1588
1963-01-01,3156
1969-01-01,1449
1956-01-01,4211
1949-01-01,4880
1961-01-01,3264
1959-01-01,2518
1966-01-01,1795
2008-01-01,2782
2005-01-01,3550
2000-01-01,3296
1953-01-01,4063
1984-01-01,4103
1982-01-01,3318
1952-01-01,4266
1971-01-01,1700
2021-01-01,2392
2009-01-01,1960
2018-01-01,2341
1962-01-01,3833
1946-01-01,2875
2011-01-01,2662
2022-01-01,101
